created_at,id_str,tweet
0,Mon Jan 27 06:08:55 +0000 2020,1221676441202380801,@AkashCh06787442 @_kritikaRao_ @BiggBoss Twitter download app se download hoga vedio
0,Mon Jan 27 06:08:56 +0000 2020,1221676442745888769,"@kkc_gourav @_kritikaRao_ @BiggBoss Like Chuslet like his useless Fan.
If u fools are raising questions on Sid's re… https://t.co/SiTPGKdWuT"
0,Mon Jan 27 06:08:56 +0000 2020,1221676442745888769,"@kkc_gourav @_kritikaRao_ @BiggBoss Like Chuslet like his useless Fan.
If u fools are raising questions on Sid's re… https://t.co/SiTPGKdWuT"
0,Mon Jan 27 06:08:58 +0000 2020,1221676452464287744,"Blue city #ResidentialPlot #Land #ForSale #Atchutapuram #Visakhapatnam #Residential #Property
https://t.co/JInWnvcaGP"
0,Mon Jan 27 06:08:58 +0000 2020,1221676452464287744,"Blue city #ResidentialPlot #Land #ForSale #Atchutapuram #Visakhapatnam #Residential #Property
https://t.co/JInWnvcaGP"
0,Mon Jan 27 06:22:13 +0000 2020,1221679784557572098,@JiyoOrJeeneDo @rohini_sgh @CGISFO @MEAIndia @DrSJaishankar We guess the Consulate General in SFO had your blessing… https://t.co/phyW8UtNfn
0,Mon Jan 27 06:22:14 +0000 2020,1221679789150310400,Thank you for everything Legend. The game won’t be the same without you. You’ll definitely be missed but never forg… https://t.co/jxpxQE9plR
0,Mon Jan 27 06:22:39 +0000 2020,1221679894934904833,"Anatomy of restlessness 
* *
*
#anatomyofrestlessness #brucechatwin #HomeLibrary #bookstagram #bookstagrammer… https://t.co/0BkfQPGSws"
0,Mon Jan 27 06:23:05 +0000 2020,1221680006650138626,@ranjona What we are witnessing all over the country is the offensive of godse lovers against the peaceful Gandhian protesters.
0,Mon Jan 27 06:23:10 +0000 2020,1221680026984370176,"Adopting the right #attitude😎 can convert📩
a negative #stress into a positive one💪 @ கலவரபூமி தர்மபுரி https://t.co/mkNU6DdQeT"
0,Mon Jan 27 06:23:15 +0000 2020,1221680047217467392,@TheOfficialSBI  is a harassment of highest level and if you change city in this age of core banking they will hara… https://t.co/NWsWzi9vcb
0,Mon Jan 27 06:23:17 +0000 2020,1221680053345374208,"Lately I have not been able to ""walk the talk"" but that's okay. I've been wanting a situation like this from quite… https://t.co/KqjVLZ3S1c"
0,Mon Jan 27 06:23:23 +0000 2020,1221680080604168193,It is bad that you provide poor Service. It is further that there is no response to my pointing out. Further your s… https://t.co/YpTdkr45Fr
0,Mon Jan 27 06:23:24 +0000 2020,1221680084135960576,"VARS CARLTON COURT #2BHK #Apartment #Flat #ForRent #Kundalahalli #Bangalore #Residential #Property
https://t.co/ObE49lDvyq"
0,Mon Jan 27 06:24:11 +0000 2020,1221680282362773504,"SS 1- Ajith BB combo Vedalam with positive review diwali weekend made 47cr+ in 5Days😏
SS 2- Vijay flop combo bairav… https://t.co/e2pdgkJTqS"
0,Mon Jan 27 06:24:34 +0000 2020,1221680376583606272,@tehseenp If you have self-respect say sorry for what you said about #Asim And others like #Asim (#Models) you have… https://t.co/ydkDmtqtwP
0,Mon Jan 27 06:24:43 +0000 2020,1221680417696186368,Having non alcoholic ice teas and listening to Bohuslav Martinu. https://t.co/xLG9qXhfcG
0,Mon Jan 27 06:25:13 +0000 2020,1221680543621763074,@Swamy39 @PMOIndia this is how they are forcing their religion. Please do something.
0,Mon Jan 27 06:25:55 +0000 2020,1221680718255812608,@RomanaRaza @NetflixIndia So true!!!
